"iteration","module","question_id","definition_1","definition_2","definition_3","definition_4","definition_5","question","answer","response"
"All",4,"eval4_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the Youth Program Quality Assessment (YPQA) focus areas.",4,"1"
"All",4,"eval4_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop after-school club activities with YPQA in mind.",4,"1"
"All",4,"eval4_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to communicate science concepts in a way youth will understand.",4,"1"
"All",4,"eval4_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop science-related activities for after-school program clubs that will be engaging for youth.",4,"1"
"All",4,"eval4_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to use techniques to ensure youth engagement throughout after-school club activities.",4,"1"
"Spring 2022",4,"eval4_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the Youth Program Quality Assessment (YPQA) focus areas.",2,"3"
"Spring 2022",4,"eval4_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the Youth Program Quality Assessment (YPQA) focus areas.",3,"5"
"Spring 2022",4,"eval4_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the Youth Program Quality Assessment (YPQA) focus areas.",4,"8"
"Spring 2022",4,"eval4_1","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to understand the Youth Program Quality Assessment (YPQA) focus areas.",5,"14"
"Spring 2022",4,"eval4_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop after-school club activities with YPQA in mind.",2,"2"
"Spring 2022",4,"eval4_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop after-school club activities with YPQA in mind.",3,"4"
"Spring 2022",4,"eval4_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop after-school club activities with YPQA in mind.",4,"16"
"Spring 2022",4,"eval4_2","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop after-school club activities with YPQA in mind.",5,"8"
"Spring 2022",4,"eval4_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to communicate science concepts in a way youth will understand.",2,"1"
"Spring 2022",4,"eval4_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to communicate science concepts in a way youth will understand.",3,"5"
"Spring 2022",4,"eval4_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to communicate science concepts in a way youth will understand.",4,"9"
"Spring 2022",4,"eval4_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to communicate science concepts in a way youth will understand.",5,"14"
"Spring 2022",4,"eval4_3","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to communicate science concepts in a way youth will understand.",NULL,"1"
"Spring 2022",4,"eval4_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop science-related activities for after-school program clubs that will be engaging for youth.",2,"3"
"Spring 2022",4,"eval4_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop science-related activities for after-school program clubs that will be engaging for youth.",3,"7"
"Spring 2022",4,"eval4_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop science-related activities for after-school program clubs that will be engaging for youth.",4,"9"
"Spring 2022",4,"eval4_4","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to develop science-related activities for after-school program clubs that will be engaging for youth.",5,"11"
"Spring 2022",4,"eval4_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to use techniques to ensure youth engagement throughout after-school club activities.",2,"2"
"Spring 2022",4,"eval4_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to use techniques to ensure youth engagement throughout after-school club activities.",3,"5"
"Spring 2022",4,"eval4_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to use techniques to ensure youth engagement throughout after-school club activities.",4,"11"
"Spring 2022",4,"eval4_5","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","I am able to use techniques to ensure youth engagement throughout after-school club activities.",5,"12"
